ID,cage_number,monkey_number,sex,species,age,weight,height,bmi,pregnant,lactation,diarrhea,CT_value,parasite_load,sub_type,identity,batch,info,class
SX71,1.1.5,1411093,male,mfas,6,2.6,0.43,14.062,No,No,No,29.53134155,0.484454666,ST3,0.9839,2,non,positive
SX72,G1-5,NA,female,mfas,0.6,1,0.22,20.661,No,No,No,NA,NA,ST1,0.9963,2,unsequencing,positive
SX73,G2-129,1103639,male,mfas,8,9.6,0.5,38.4,No,No,No,23.63127518,110.838464,ST1,0.9796,2,non,positive
SX74,G3-6,13306,female,mfas,9,4,0.46,18.904,No,Yes,No,29.17433357,0.470351711,ST3,0.9964,2,non,positive
SX75,G4-18,1206269,male,mfas,10,7.2,0.5,28.8,No,No,No,22.30498123,45.10896767,ST1,0.9964,2,non,positive
SX76,G3-19,14308,female,mfas,8,6.1,0.46,28.828,No,No,No,29.29267693,0.563125846,ST3,0.9838,2,non,positive
SX77,G1-3,NA,female,mfas,0.6,0.9,0.22,18.595,No,No,No,25.07775116,26.31133205,ST1,0.9929,2,non,positive
SX78,G2-126,253,male,mfas,12,7,0.5,28,No,No,No,23.75968933,9.731994213,ST3,0.9929,2,non,positive
SX79,G2-135,704035,male,mfas,15,7.6,0.5,30.4,No,No,No,28.04327583,1.761390259,ST1,0.9926,2,non,positive
SX80,G2-138,503003,male,mfas,17,8.1,0.5,32.4,No,No,No,22.51127434,36.29764681,ST1,0.9944,2,non,positive
SX81,G2-153,402001,male,mfas,15,6.9,0.5,27.6,No,No,No,21.66802788,236.0717839,ST1,1,2,non,positive
SX82,1.1.9,1204096,female,mfas,7,3.4,0.4,21.25,No,No,No,25.38631439,7.857782404,ST1,0.9714,2,non,positive
SX83,G99-SX,13,female,mfas,8,6,0.46,28.355,No,Yes,No,26.3602047,12.86973339,ST1,0.9946,1,non,positive
SX84,G4-17,610269,male,mfas,10,10.1,0.5,40.4,No,No,No,13.06988716,15735.88414,ST1,0.9982,2,non,positive
SX85,G1-64,1411073,male,mfas,8,3.3,0.4,20.625,No,No,No,20.52867699,171.6253821,ST3,0.9894,3,non,positive
SX86,G1-100,1411081,male,mfas,8,6.4,0.48,27.778,No,No,No,18.70271301,365.4505221,ST1,1,3,non,positive
SX87,G1-99,30131,male,mfas,12,4.3,0.46,20.321,No,No,No,20.40420151,341.7386472,ST1,1,3,non,positive
SX88,G1-97,2067,male,mfas,16,6,0.46,28.355,No,No,No,29.00886536,1.01724106,ST3,0.9899,3,non,positive
SX89,G1-94,905861,male,mfas,13,5.8,0.48,25.174,No,No,No,22.55694962,24.20569523,ST1,0.9984,3,non,positive
SX90,G1-93,1411059,male,mfas,8,6.8,0.48,29.514,No,No,No,21.61565971,45.64209239,ST1,0.9963,3,non,positive
SX91,G1-91,1701037,male,mfas,5,4.9,0.47,22.182,No,No,No,23.29723167,30.81167826,ST1,0.9802,3,non,positive
SX92,G1-119,1212219,male,mfas,10,8.8,0.52,32.544,No,No,No,16.66135788,825.4587774,ST1,1,3,non,positive
SX93,G1-122,161023,male,mfas,11,7,0.5,28,No,No,No,17.01039124,4166.734406,ST1,0.9982,3,non,positive
SX94,G1-131,1410031,male,mfas,13,6.7,0.49,27.905,No,No,No,21.79094315,175.7352967,ST1,0.9819,3,non,positive
SX95,G1-132,702075,male,mfas,15,9.2,0.52,34.024,No,No,No,22.30872917,46.05882293,ST3,0.9911,3,non,positive
SX96,G3-16,1212223,male,mfas,10,8.6,0.52,31.805,No,No,No,19.10639191,164.258875,ST1,0.9964,3,non,positive
SX97,J1-59,22389,male,mfas,0.6,1.6,0.3,17.778,No,No,No,22.59641075,39.3348383,ST1,0.9946,3,non,positive
SX98,J1-60,22400,female,mfas,0.6,1.2,0.3,13.333,No,No,No,22.12948608,38.47339887,ST1,0.9893,3,non,positive
SX99,J1-61,22387,male,mfas,0.6,1.4,0.3,15.556,No,No,No,20.7490654,262.0537887,ST1,0.9964,3,non,positive
SX100,J1-62,22396,female,mfas,0.6,1.4,0.3,15.556,No,No,No,21.63615036,59.63741319,ST1,0.9962,Unclass,non,positive
SX101,J1-3,22378,female,mfas,0.6,1.3,0.3,14.444,No,No,No,21.46477318,360.6686084,ST1,0.9964,3,non,positive
SX102,J1-5,22369,male,mfas,0.6,1.5,0.3,16.667,No,No,No,23.57736206,17.995277,ST1,0.9947,3,non,positive
SX103,J1-34,1701099,male,mfas,4,3.2,0.43,17.307,No,No,No,23.89246559,28.65381479,ST1,0.9473,1,non,positive
SX104,G3-17,8304,female,mfas,14,6,0.46,28.355,No,Yes,No,24.65288925,11.91314404,ST1,0.9874,2,non,positive
SX105,escherichia coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non,mock
MH133,J3-11,190012,female,mmul,2,2.9,0.35,23.67346939,NO,NO,NO,NA,NA,control,NA,1,non,control
SX134,G2-145,1701075,male,mfas,11,7.5,0.5,30,NO,NO,NO,NA,NA,control,NA,2,non,control
SX135,G49-SX,NA,female,mfas,7,5.4,0.43,29.20497566,Yes,NO,NO,NA,NA,control,NA,1,non,control
SX136,G1-54,NA,female,mfas,0.6,1,0.3,11.11111111,NO,NO,NO,NA,NA,control,NA,2,non,control
SX137,G1-135,704035,male,mfas,15,7.6,0.5,30.4,NO,NO,NO,NA,NA,control,NA,3,non,control
SX138,G1-71,1701021,male,mfas,5,6,0.47,27.16161159,NO,NO,NO,NA,NA,control,NA,3,non,control
SX139,G1-70,170074,female,mfas,5,3,0.42,17.00680272,NO,NO,NO,NA,NA,control,NA,3,non,control
SX140,1.1.10,1209060,female,mfas,10,3,0.45,14.81481481,NO,NO,NO,NA,NA,control,NA,3,non,control
SX141,G1-141,160163,male,mfas,9,17,0.51,65.35947712,no,no,no,NA,NA,control,NA,3,non,control
SX142,G1-118,7163,male,mfas,10,6,0.5,24,NO,NO,NO,NA,NA,NA,NA,3,unclassified,positive
SX143,H2O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non,mock
MH106,G3-7,13,male,mmul,8,10,0.5,40,No,No,No,24.92716026,17.36685082,ST3,0.9927,1,non,positive
MH107,J2-56,190023,male,mmul,2,3.2,0.33,29.385,No,No,No,27.11474991,4.98972786,ST3,0.9747,1,non,positive
MH108,J2-59,190009,male,mmul,2,3.3,0.33,30.303,No,No,No,27.83160782,1.210816017,ST3,0.9791,1,non,positive
MH109,G160-MH,*,male,mmul,6,6.1,0.43,32.991,No,No,No,24.74537659,5.681317115,ST1,0.9981,1,non,positive
MH110,G130-MH,9,male,mmul,12,7.8,0.5,31.2,No,No,No,23.60694122,52.7480039,ST3,0.9964,1,non,positive
MH111,J3-8,200007,male,mmul,1,2.5,0.27,34.294,No,No,No,23.37805367,45.76241396,ST3,0.9946,1,non,positive
MH112,G4-21,1907031,male,mmul,15,10.6,0.5,42.4,No,No,No,22.97123337,31.73616621,ST3,0.9819,2,non,positive
MH113,G4-19,1407015,male,mmul,15,9.6,0.5,38.4,No,No,No,21.17858887,97.26904754,ST1,0.9963,2,non,positive
MH114,G114-MH,16,male,mmul,5,6.8,0.43,36.777,No,No,No,22.36898422,81.64241371,ST3,0.9964,1,non,positive
MH115,G115-MH,5,male,mmul,16,5.6,0.5,22.4,No,No,No,24.28328705,26.60230049,ST3,0.9982,1,non,positive
MH116,G152-MH,13,female,mmul,8,2.3,0.46,10.87,No,No,No,30.30917168,0.292156628,ST3,0.9898,1,non,positive
MH117,J3-13,180504,female,mmul,3,3.5,0.3,38.889,No,No,No,30.87449265,0.878649629,ST3,0.9932,1,non,positive
MH118,J3-6,180338,female,mmul,3,2.7,0.3,30,No,No,No,31.2389946,0.301718989,ST3,0.9982,1,non,positive
MH119,G119-MH,10,male,mmul,11,9.8,0.5,39.2,No,No,No,19.46845436,1002.766036,ST3,0.9928,1,non,positive
MH120,G3-13,11,male,mmul,10,10.8,0.5,43.2,No,No,No,22.09334564,43.0795411,ST3,92.39,1,non,positive
MH121,G121-MH,16,male,mmul,5,7.1,0.43,38.399,No,No,No,21.49415016,273.493454,ST1,0.9893,1,non,positive
MH122,J3-14,190004,female,mmul,2,4.3,0.3,47.778,No,No,No,32.55833435,0.168291591,ST1,0.912,1,non,positive
MH123,J3-7,190078,female,mmul,2,2.5,0.3,27.77777778,No,No,No,NA,NA,ST3,0.9838,1,non,positive
MH124,J3-3,190093,female,mmul,2,2.9,0.3,32.22222222,No,No,No,27.94714737,1.893804341,ST1,0.9291,1,non,positive
MH125,J3-21,458,female,mmul,4,3.5,0.35,28.57142857,No,No,No,22.82497215,146.3012686,ST3,0.9926,1,non,positive
MH126,G126-MH,14,male,mmul,7,5.8,0.43,31.36830719,No,No,No,23.27303696,48.92434746,ST3,0.9944,1,non,positive
MH127,G127-MH,*,female,mmul,4,2.3,0.4,14.375,No,Yes,No,22.17872238,108.1057167,ST1,0.9981,1,non,positive
MH128,G128-MH,9,male,mmul,12,11.9,0.5,47.6,No,No,No,21.71470451,117.3761687,ST1,0.926,1,non,positive
MH129,G129-MH,11,male,mmul,10,6,0.5,24,No,No,No,18.48192406,621.9571779,ST1,0.9982,1,non,positive
MH130,G157-MH,8,female,mmul,13,5.6,0.56,17.85714286,Yes,No,No,23.11791992,33.43562685,ST1,0.9964,1,non,positive
MH131,G148-MH,15,male,mmul,6,6.1,0.4,38.125,No,No,No,17.33606339,3934.207516,ST3,0.883,1,non,positive
MH132,G166-MH,10,male,mmul,11,11.4,0.5,45.6,No,No,No,21.80078506,61.33736372,ST3,0.9395,1,non,positive
