ID,MH112,SX28,MH116,SX38,SX138,SX29,SX31,SX30,SX100,SX88,SX83,MH117,MH118,SX12,SX98,SX101,SX34,SX7,SX16,SX103,SX79,SX93,SX35,SX54,SX104,SX74,SX78,MH108,SX6,SX62,SX75,SX69,SX49,MH113,SX52,SX59,SX86,SX96,SX32,MH133,SX42,SX56,MH114,SX73,SX8,SX45,MH125,SX50,SX47,SX10,SX55,MH110,SX27,MH119,SX97,SX94,SX60,SX3,SX61,SX36,SX91,MH126,SX23,SX43,SX44,SX137,MH111,MH106,SX89,SX2,SX58,MH121,SX80,SX95,SX64,SX66,SX4,SX63,MH132,MH127,SX85,MH128,SX41,SX39,SX37,MH122,MH107,SX13,SX77,SX65,SX90,SX76,SX102,MH131,MH120,MH130,MH115,SX53,SX40,SX67,MH124,SX1,SX33,SX99,SX57,SX9,SX92,SX5,MH109,MH129,SX82,SX142,SX68,SX84,SX87,SX17,SX81,SX46,SX135,SX48,SX139,SX71,SX141,SX70,SX136,SX19,SX26,SX24,SX14,SX18,SX25,SX20,SX51,SX22
OTU20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU24,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU25,2,0,0,0,340,12,0,0,0,0,0,0,0,1,2,115,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,2,1,0,1,28,4,0,0,0,50,0,0,0,42,0,2,0,3,1,0,0,0,0,11,1,0,0,0,0,6,0,3,15,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,3,0,0,9,0,0,6,0,3,0,0,3,0,0,0,0,1,0,19,1,4,0,0,12,3,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU27,263,28,0,2,491,51,0,0,53,4,11,0,0,2032,25,935,68,757,2082,354,0,1111,0,204,48,65,1586,2,48,1,26,1316,320,77,0,16,111,767,1,0,0,6,5,6,0,11,8,69,117,470,134,117,204,1,949,81,12,25,0,176,35,72,88,28,305,0,15,2,347,132,0,156,715,56,256,1143,207,20,254,370,9,4,111,0,8,1,4,2395,2149,250,3155,0,101,275,179,2121,0,0,134,0,1046,370,0,1573,0,17,722,825,689,297,37,116,3,3974,1088,2070,186,39,0,3,40,1289,0,0,0,0,0,0,0,0,0,0,0,0
OTU28,6416,330,0,6697,13548,22002,12547,0,2516,4880,4416,10710,20491,0,1883,1432,5452,2507,1189,751,2341,199,20376,4,666,8096,205,12256,4578,149,0,841,0,125,3394,7206,199,963,8472,10639,377,1241,40,3631,12153,2767,19534,7196,306,577,6060,0,5179,124,3700,2217,883,89,6714,7491,427,2325,1517,1373,327,7103,16958,23556,1094,712,29046,1367,521,25280,7430,1613,2241,3584,76,218,437,0,0,8206,10641,15909,11916,45,0,5342,11,2,1482,5235,12181,0,1,3249,2346,5473,499,195,9692,2887,32324,0,158,480,376,14,10541,335,15697,943,1,4004,4520,0,6228,18641,9769,21175,9926,17485,21127,3345,12464,7092,15809,6725,24777,30092,26343,13190
OTU29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
