ID,parasite_load,species,ST1,ST2,ST3,ST5,unclassify,Pattern,Pattern_class,sex,age,bmi,parasite_load_log,ST1_abs,ST2_abs,ST3_abs
SX1,5.872601029,mfas,97.74602096273291,0,2.2539790372670807,0,0,Pattern_1,ST1_dom,male,10,15.6,2.553999627783414,574.0233832864009,0,13.236719613599087
SX2,24.70880388,mfas,24.10471661490683,10.389169254658386,65.4406055900621,0,0.06550854037267081,Pattern_2,ST3_dom,male,5,32.45,4.626953268315715,595.5987154207104,256.7039455894799,1616.9590893132763
SX3,67.29049356,mfas,87.36413043478261,1.8973214285714284,10.47166149068323,0.24019798136645965,0.02668866459627329,Pattern_1,ST1_dom,male,10,30,6.072330797901525,5878.775456396739,127.6716953705357,704.6432701013199
SX4,15.40494421,mfas,44.48515139751553,11.114615683229816,44.39780667701863,0,0.00242624223602484,Pattern_3,Balance,male,7,30.827,3.9453215524608565,685.2912754521303,171.22003451574636,683.9457349058374
SX5,54.48544093,mfas,95.79289596273291,0,4.204677795031056,0,0.00242624223602484,Pattern_1,ST1_dom,male,7,34.613,5.767798873325161,5219.31817449112,0,229.09372363084728
SX6,8.883073007,mfas,49.68216226708074,4.204677795031056,46.0743400621118,0,0.03881987577639751,Pattern_3,Balance,male,10,15.6,3.1510588483123887,441.3302745640989,37.35045982417265,409.28172652108407
SX7,56.14823615,mfas,74.26242236024845,1.3368594720496894,24.40071816770186,0,0,Pattern_1,ST1_dom,male,8,28,5.811168797163867,4169.704027754271,75.06230133601028,1370.0572859097194
SX8,14.91648952,mfas,10.406152950310558,3.0546389751552794,86.53678183229813,0,0.00242624223602484,Pattern_2,ST3_dom,male,7,28.664,3.8988361433496888,155.22327142682454,45.564490260287265,1290.8249992960016
SX9,22.28115692,mfas,99.98544254658384,0,0,0,0.01455745341614906,Pattern_1,ST1_dom,male,16,31.2,4.477752239567708,2227.791335096079,0,0
SX10,52.76294949,mfas,96.66634316770188,0.2135093167701863,3.1201475155279503,0,0,Pattern_1,ST1_dom,male,10,35.2,5.721453309508265,5100.401381940461,11.26538129638975,164.6281857631502
SX12,13.98963522,mfas,95.47991071428572,4.214382763975156,0.30570652173913043,0,0,Pattern_1,ST1_dom,female,8,20.321,3.8062864395802962,1335.729121731027,58.95767754546779,4.276722723505435
SX13,46.26907815,mfas,90.70749223602483,0,9.21486801242236,0,0.07763975155279502,Pattern_1,ST1_dom,female,9,20.321,5.531976450292147,4196.9520470591515,0,426.3634482087053
SX14,2.186743544,mfas,36.41061723602485,0,38.358889751552795,0,25.23049301242236,Unclass,Unclass,female,12,19.849,1.128784034517604,79.62068217393247,0,83.88105451921584
SX16,10.15682814,mfas,61.49310947204969,11.187402950310558,27.31948757763975,0,0,Pattern_1,ST1_dom,male,11,32,3.3443780303499864,624.5749447018148,113.62852909923329,277.4793401989519
SX17,1.133259586,mfas,66.60034937888199,0,24.126552795031056,0,9.273097826086955,Unclass,Unclass,female,14,27.883,0.18047836472371806,75.47548436456717,0,27.34164723210404
SX18,14.24463979,mfas,0,0,99.99514751552796,0,0.00485248447204968,Pattern_2,ST3_dom,female,16,22.684,3.8323472349941095,0,0,1424.3948571066094
SX19,58.17376632,mfas,1.014169254658385,0,98.97855201863354,0,0.00727872670807453,Pattern_2,ST3_dom,male,11,13.2,5.862296805883004,58.99804522942546,0,5757.955155823952
SX20,6.965412689,mfas,0,0,99.64334239130434,0,0.35665760869565216,Pattern_2,ST3_dom,female,18,24.575,2.8002088326162795,0,0,694.0570014667629
SX22,0.717066657,mfas,0,0,95.55755046583852,0,4.44244953416149,Pattern_2,ST3_dom,male,3,23.875,-0.479820859846485,0,0,68.52113326364763
