ID,MH112,SX28,MH116,SX38,SX138,SX29,SX31,SX30,SX100,SX88,SX83,MH117,MH118,SX12,SX98,SX101,SX34,SX7,SX16,SX103,SX79,SX93,SX35,SX54,SX104,SX74,SX78,MH108,SX6,SX62,SX75,SX69,SX49,MH113,SX52,SX59,SX86,SX96,SX32,MH133,SX42,SX56,MH114,SX73,SX8,SX45,MH125,SX50,SX47,SX10,SX55,MH110,SX27,MH119,SX97,SX94,SX60,SX3,SX61,SX36,SX91,MH126,SX23,SX43,SX44,SX137,MH111,MH106,SX89,SX2,SX58,MH121,SX80,SX95,SX64,SX66,SX4,SX63,MH132,MH127,SX85,MH128,SX41,SX39,SX37,MH122,MH107,SX13,SX77,SX65,SX90,SX76,SX102,MH131,MH120,MH130,MH115,SX53,SX40,SX67,MH124,SX1,SX33,SX99,SX57,SX9,SX92,SX5,MH109,MH129,SX82,SX142,SX68,SX84,SX87,SX17,SX81,SX46,SX135,SX48,SX139,SX71,SX141,SX70,SX136,SX19,SX26,SX24,SX14,SX18,SX25,SX20,SX51,SX22
ST1,11712,9065,13803,8139,19278,4350,4917,12576,10030,19536,23290,17646,9113,39353,25218,37759,11692,30608,25345,31215,30836,39268,627,39892,34450,12054,24750,8736,20477,21349,40277,34164,34865,36212,1522,8345,38367,38862,3543,14574,9258,24745,14301,6281,4289,4441,1986,19874,33028,39842,22179,7203,2680,15558,32482,29824,30606,36008,4364,8342,31872,9623,32438,15590,30997,13003,5126,845,32648,9935,0,33340,34307,3818,16012,34320,18335,11866,8056,37203,7519,10158,10454,4519,8532,12936,9708,37386,37247,28205,41167,2,36651,32013,9624,40684,0,6944,13678,12603,31520,40287,12389,34332,148,41210,40444,39482,40755,41167,20724,40510,9595,39024,41211,27450,33893,41182,14044,2143,31347,10997,17222,1806,3,418,0,2937,15007,0,0,0,739,0
ST2,4497,11854,2718,9625,0,3084,0,2047,22891,1951,0,3432,1,1737,1139,609,1535,551,4611,4231,4232,627,3605,1122,1615,4664,6711,1172,1733,506,666,4785,1577,3256,6701,1681,819,7,5815,3971,1582,1484,1749,8685,1259,3687,2197,4658,6480,88,544,9161,6707,8159,7,4593,1450,782,3763,8957,3691,2921,1262,908,6078,13606,2600,2373,6805,4282,4238,5270,4375,1575,3666,1305,4581,9959,20236,0,90,0,0,1,0,0,0,0,2403,0,0,0,1,0,67,41,2609,770,0,328,0,0,4325,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3,25007,20295,24645,23054,21854,33776,33973,21836,8248,14291,17815,19546,32101,126,14859,2845,17229,10057,11260,4085,6148,1321,36786,202,5151,23634,9755,31308,18990,19235,273,2266,4762,1741,32993,31190,2030,2345,31858,22429,30366,14940,25166,26250,35667,33083,37014,16684,1706,1286,18463,24848,30682,17497,8727,6799,8879,4316,32956,23900,5653,28671,7516,24708,4137,14594,33490,37998,1762,26972,36693,2605,2320,35823,21538,5590,18299,19391,12923,4009,33607,31058,30756,36692,32684,26659,31508,3798,1566,13010,49,40876,4564,9203,31525,491,38607,33501,27523,28284,9669,929,22358,6807,41068,0,770,1733,460,49,20475,706,31621,2192,4,9944,7321,0,26544,39073,9869,30219,23989,39410,41213,40795,41216,34876,15810,41214,40733,41069,40467,39385
ST5,0,1,0,0,0,0,0,0,0,3351,0,0,0,0,0,0,10688,0,0,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1142,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,233,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unclassify,0,1,50,398,84,6,2326,4757,47,2087,111,592,1,0,0,3,72,0,0,0,0,0,198,0,0,864,0,0,16,126,0,1,12,7,0,0,0,2,0,242,10,47,0,0,1,5,19,0,2,0,0,4,5,2,0,0,281,11,133,17,0,1,0,10,4,13,0,0,1,27,52,1,80,0,0,1,1,0,1,4,0,0,6,4,0,1621,0,32,0,1,0,338,0,0,0,0,0,1,15,1,27,0,2144,2,0,6,2,1,0,0,17,0,0,0,1,3822,2,34,628,0,0,0,5,0,0,3,0,3403,10399,2,483,147,10,1831
